Record,Date & Time, Int temp, Int pressure, LH temp, RH temp
1540001,21/06/2023 01:19:36,36.0,0.1157407,154.0,155.3
1540002,21/06/2023 01:20:36,36.0,0.1374421,154.0,155.6
1540003,21/06/2023 01:21:36,36.0,0.1171875,154.0,155.9
1540004,21/06/2023 01:22:36,36.0,0.1316551,154.0,154.9
1540005,21/06/2023 01:23:36,36.0,0.1273148,154.0,156.2
1540006,21/06/2023 01:24:36,36.0,0.1461227,154.0,155.3
1540007,21/06/2023 01:25:36,36.0,0.1446759,154.0,155.5
1540008,21/06/2023 01:26:36,36.0,0.1403356,154.0,155.9
1540009,21/06/2023 01:27:36,36.0,0.1331019,154.1,154.9
1540010,21/06/2023 01:28:36,36.0,0.1316551,154.0,156.2
1540011,21/06/2023 01:29:36,36.0,0.1446759,154.0,155.2
1540012,21/06/2023 01:30:36,36.0,0.1490162,154.0,155.4
1540013,21/06/2023 01:31:36,36.0,0.1446759,154.0,156.0
1540014,21/06/2023 01:32:36,35.9,0.1273148,154.0,155.0
1540015,21/06/2023 01:33:36,35.9,0.1446759,154.0,156.1
1540016,21/06/2023 01:34:36,35.9,0.1490162,153.1,155.4
1540017,21/06/2023 01:35:36,35.9,0.1345486,153.2,155.1
1540018,21/06/2023 01:36:36,35.9,0.1374421,153.7,156.0
1540019,21/06/2023 01:37:36,35.9,0.1099537,153.3,154.9
1540020,21/06/2023 01:38:36,35.9,0.1186343,153.3,156.2
1540021,21/06/2023 01:39:36,36.0,0.1085069,153.7,155.6
1540022,21/06/2023 01:40:36,36.0,0.1186343,153.9,154.8
1540023,21/06/2023 01:41:36,36.0,0.1157407,153.8,156.2
1540024,21/06/2023 01:42:36,36.0,0.1099537,153.8,155.4
1540025,21/06/2023 01:43:36,36.0,0.1128472,153.8,155.3
1540026,21/06/2023 01:44:36,36.0,0.1331019,153.9,156.1
1540027,21/06/2023 01:45:36,36.0,0.1229745,153.6,155.0
1540028,21/06/2023 01:46:36,36.0,0.1258681,153.6,156.2
1540029,21/06/2023 01:47:36,36.1,0.1128472,153.7,155.6
1540030,21/06/2023 01:48:36,36.1,0.1114005,153.8,154.9
1540031,21/06/2023 01:49:36,36.2,0.1345486,153.8,156.3
1540032,21/06/2023 01:50:36,36.2,0.120081,153.9,155.2
1540033,21/06/2023 01:51:36,36.2,0.1128472,153.8,155.7
1540034,21/06/2023 01:52:36,36.2,0.1070602,153.9,155.7
1540035,21/06/2023 01:53:36,36.2,0.1157407,153.9,154.9
1540036,21/06/2023 01:54:36,36.2,0.1388889,153.8,156.1
1540037,21/06/2023 01:55:36,36.2,0.1359954,154.0,155.2
1540038,21/06/2023 01:56:36,36.2,0.1316551,153.8,156.0
1540039,21/06/2023 01:57:36,36.2,0.1388889,153.9,155.7
1540040,21/06/2023 01:58:36,36.2,0.1490162,154.0,154.9
1540041,21/06/2023 01:59:36,36.2,0.1490162,153.9,156.2
1540042,21/06/2023 02:00:36,36.2,0.1331019,154.0,155.2
1540043,21/06/2023 02:01:36,36.2,0.1548032,154.0,155.4
1540044,21/06/2023 02:02:36,36.2,0.1663773,154.0,155.9
1540045,21/06/2023 02:03:36,36.2,0.1403356,154.0,154.8
1540046,21/06/2023 02:04:36,36.3,0.1461227,153.9,156.1
1540047,21/06/2023 02:05:36,36.3,0.1519097,153.9,155.5
1540048,21/06/2023 02:06:36,36.3,0.1388889,154.0,155.1
1540049,21/06/2023 02:07:36,36.3,0.1432292,154.0,155.9
1540050,21/06/2023 02:08:36,36.2,0.162037,154.0,155.0
1540051,21/06/2023 02:09:36,36.2,0.150463,154.0,156.0
1540052,21/06/2023 02:10:36,36.2,0.1663773,153.7,155.7
1540053,21/06/2023 02:11:36,36.3,0.1634838,153.1,154.8
1540054,21/06/2023 02:12:36,36.2,0.1765046,153.4,156.2
1540055,21/06/2023 02:13:36,36.2,0.1678241,153.7,155.3
1540056,21/06/2023 02:14:36,36.2,0.1649306,153.8,155.2
1540057,21/06/2023 02:15:36,36.2,0.1721644,153.9,156.2
1540058,21/06/2023 02:16:36,36.1,0.1678241,153.9,155.2
1540059,21/06/2023 02:17:36,36.1,0.1663773,153.9,155.5
1540060,21/06/2023 02:18:36,36.1,0.1765046,154.0,155.9
1540061,21/06/2023 02:19:36,36.1,0.1750579,154.0,155.0
1540062,21/06/2023 02:20:36,36.1,0.1750579,153.9,156.0
1540063,21/06/2023 02:21:36,36.0,0.1707176,154.0,155.4
1540064,21/06/2023 02:22:36,36.0,0.1837384,154.0,155.1
1540065,21/06/2023 02:23:36,36.0,0.1707176,154.0,156.0
1540066,21/06/2023 02:24:36,36.0,0.1779514,154.0,155.0
1540067,21/06/2023 02:25:36,36.0,0.1736111,153.9,156.2
1540068,21/06/2023 02:26:36,36.0,0.1765046,153.9,155.5
1540069,21/06/2023 02:27:36,36.0,0.1750579,153.7,155.0
1540070,21/06/2023 02:28:36,36.0,0.1895255,153.8,156.0
1540071,21/06/2023 02:29:36,36.0,0.1736111,153.9,154.8
1540072,21/06/2023 02:30:36,36.0,0.1822917,153.9,156.1
1540073,21/06/2023 02:31:36,36.0,0.1707176,153.9,155.1
1540074,21/06/2023 02:32:36,36.0,0.1750579,153.9,155.8
1540075,21/06/2023 02:33:36,36.0,0.1707176,153.9,155.7
1540076,21/06/2023 02:34:36,36.1,0.1822917,154.0,154.8
1540077,21/06/2023 02:35:36,36.2,0.1663773,154.0,156.2
1540078,21/06/2023 02:36:36,36.2,0.1649306,153.8,155.3
1540079,21/06/2023 02:37:36,36.3,0.1721644,153.7,155.7
1540080,21/06/2023 02:38:36,36.4,0.1779514,153.7,155.9
1540081,21/06/2023 02:39:36,36.5,0.1707176,153.7,154.8
1540082,21/06/2023 02:40:36,36.5,0.1793981,153.8,156.2
1540083,21/06/2023 02:41:36,36.5,0.1837384,153.8,155.5
1540084,21/06/2023 02:42:36,36.6,0.1750579,153.7,154.9
1540085,21/06/2023 02:43:36,36.6,0.1765046,153.9,156.1
1540086,21/06/2023 02:44:36,36.6,0.1649306,153.6,155.2
1540087,21/06/2023 02:45:36,36.7,0.1866319,152.5,155.5
1540088,21/06/2023 02:46:36,37.7,0.1490162,149.9,155.3
1540089,21/06/2023 02:47:36,38.2,0.15625,148.0,155.8
1540090,21/06/2023 02:48:36,38.5,0.1533565,149.7,154.9
1540091,21/06/2023 02:49:36,38.6,0.1663773,151.3,156.1
1540092,21/06/2023 02:50:36,38.5,0.1663773,152.2,155.2
1540093,21/06/2023 02:51:36,38.5,0.1663773,152.8,155.9
1540094,21/06/2023 02:52:36,38.4,0.1605903,153.2,155.5
1540095,21/06/2023 02:53:36,38.4,0.1678241,153.5,155.0
1540096,21/06/2023 02:54:36,38.3,0.1750579,153.6,156.1
1540097,21/06/2023 02:55:36,38.3,0.1649306,153.5,155.1
1540098,21/06/2023 02:56:36,38.2,0.162037,153.6,155.5
1540099,21/06/2023 02:57:36,38.1,0.1663773,153.8,155.8
1540100,21/06/2023 02:58:36,38.1,0.1634838,153.7,154.8
1540101,21/06/2023 02:59:36,38.0,0.1663773,153.8,156.1
1540102,21/06/2023 03:00:36,38.0,0.1605903,153.9,155.3
1540103,21/06/2023 03:01:36,38.0,0.1663773,153.8,155.3
1540104,21/06/2023 03:02:36,38.1,0.1591435,153.9,156.1
1540105,21/06/2023 03:03:36,38.1,0.162037,153.9,155.0
1540106,21/06/2023 03:04:36,38.0,0.1721644,153.9,155.9
1540107,21/06/2023 03:05:36,38.0,0.1692708,153.9,155.6
1540108,21/06/2023 03:06:36,38.0,0.1736111,153.9,154.9
1540109,21/06/2023 03:07:36,37.9,0.1692708,153.9,156.1
1540110,21/06/2023 03:08:36,37.8,0.1721644,153.9,155.1
1540111,21/06/2023 03:09:36,37.7,0.1765046,153.9,155.9
