Record,Date & Time, Int temp, Int pressure, LH temp, RH temp
1385001,2/27/23 4:15 AM,1.07E+02,2.49E+01,1.48E+02,1.48E+02
1385002,2/27/23 4:16 AM,1.05E+02,2.48E+01,1.48E+02,1.48E+02
1385003,2/27/23 4:17 AM,1.03E+02,2.48E+01,1.48E+02,1.48E+02
1385004,2/27/23 4:18 AM,1.01E+02,2.48E+01,1.48E+02,1.48E+02
1385005,2/27/23 4:19 AM,9.84E+01,2.63E+01,1.48E+02,1.48E+02
1385006,2/27/23 4:20 AM,9.63E+01,2.45E+01,1.48E+02,1.48E+02
1385007,2/27/23 4:21 AM,9.43E+01,2.47E+01,1.48E+02,1.48E+02
1385008,2/27/23 4:22 AM,9.24E+01,2.48E+01,1.48E+02,1.48E+02
1385009,2/27/23 4:23 AM,9.06E+01,2.48E+01,1.48E+02,1.48E+02
1385010,2/27/23 4:24 AM,9.21E+01,2.48E+01,1.48E+02,1.48E+02
1385011,2/27/23 4:25 AM,1.27E+02,2.48E+01,1.48E+02,1.48E+02
1385012,2/27/23 4:26 AM,1.51E+02,2.48E+01,1.48E+02,1.48E+02
1385013,2/27/23 4:27 AM,1.55E+02,2.48E+01,1.48E+02,1.48E+02
1385014,2/27/23 4:28 AM,1.56E+02,2.48E+01,1.48E+02,1.48E+02
1385015,2/27/23 4:29 AM,1.54E+02,2.48E+01,1.48E+02,1.48E+02
1385016,2/27/23 4:30 AM,1.50E+02,2.48E+01,1.48E+02,1.48E+02
1385017,2/27/23 4:31 AM,1.45E+02,2.49E+01,1.48E+02,1.48E+02
1385018,2/27/23 4:32 AM,1.41E+02,2.49E+01,1.48E+02,1.48E+02
1385019,2/27/23 4:33 AM,1.38E+02,2.48E+01,1.48E+02,1.48E+02
1385020,2/27/23 4:34 AM,1.34E+02,2.48E+01,1.48E+02,1.48E+02
1385021,2/27/23 4:35 AM,1.30E+02,2.49E+01,1.48E+02,1.48E+02
1385022,2/27/23 4:36 AM,1.27E+02,2.49E+01,1.48E+02,1.48E+02
1385023,2/27/23 4:37 AM,1.24E+02,2.56E+01,1.48E+02,1.48E+02
