Record,Date & Time, Int temp, Int pressure, LH temp, RH temp
1412501,2/27/23 9:20 AM,1.72E+02,2.37E+01,1.48E+02,1.48E+02
1412502,2/27/23 9:21 AM,1.72E+02,2.37E+01,1.48E+02,1.48E+02
1412503,2/27/23 9:22 AM,1.72E+02,2.37E+01,1.48E+02,1.48E+02
1412504,2/27/23 9:23 AM,1.72E+02,2.37E+01,1.48E+02,1.48E+02
1412505,2/27/23 9:24 AM,1.72E+02,2.37E+01,1.48E+02,1.48E+02
1412506,2/27/23 9:25 AM,1.72E+02,2.43E+01,1.48E+02,1.48E+02
1412507,2/27/23 9:26 AM,1.72E+02,2.44E+01,1.48E+02,1.49E+02
1412508,2/27/23 9:27 AM,1.72E+02,2.42E+01,1.48E+02,1.49E+02
1412509,2/27/23 9:28 AM,1.72E+02,2.43E+01,1.48E+02,1.48E+02
1412510,2/27/23 9:29 AM,1.72E+02,2.46E+01,1.48E+02,1.48E+02
1412511,2/27/23 9:30 AM,1.71E+02,2.47E+01,1.49E+02,1.48E+02
1412512,2/27/23 9:31 AM,1.71E+02,2.47E+01,1.48E+02,1.48E+02
1412513,2/27/23 9:32 AM,1.71E+02,2.47E+01,1.48E+02,1.48E+02
1412514,2/27/23 9:33 AM,1.67E+02,2.50E+01,1.48E+02,1.48E+02
1412515,2/27/23 9:34 AM,1.58E+02,2.50E+01,1.48E+02,1.48E+02
1412516,2/27/23 9:35 AM,3.59E+01,1.06E+01,1.24E+02,1.39E+02
1412517,2/27/23 9:36 AM,3.25E+01,9.32E+00,1.26E+02,1.36E+02
1412518,2/27/23 9:37 AM,3.24E+01,1.82E+01,1.29E+02,1.35E+02
1412519,2/27/23 9:38 AM,3.24E+01,1.26E+01,1.30E+02,1.34E+02
1412520,2/27/23 9:39 AM,3.21E+01,1.33E+01,1.30E+02,1.32E+02
1412521,2/27/23 9:40 AM,3.22E+01,1.41E+01,1.28E+02,1.31E+02
1412522,2/27/23 9:41 AM,3.19E+01,1.28E+01,1.27E+02,1.29E+02
1412523,2/27/23 9:42 AM,3.18E+01,1.40E+01,1.25E+02,1.27E+02
1412524,2/27/23 9:43 AM,3.17E+01,1.48E+01,1.23E+02,1.24E+02
1412525,2/27/23 9:44 AM,3.17E+01,1.60E+01,1.21E+02,1.22E+02
1412526,2/27/23 9:45 AM,5.24E+01,2.89E-01,1.19E+02,1.20E+02
1412527,2/27/23 9:46 AM,5.29E+01,-2.85E-01,1.17E+02,1.18E+02
1412528,2/27/23 9:47 AM,5.32E+01,-2.59E-01,1.15E+02,1.15E+02
1412529,2/27/23 9:48 AM,5.31E+01,-2.55E-01,1.13E+02,1.13E+02
1412530,2/27/23 9:49 AM,5.34E+01,-2.56E-01,1.11E+02,1.11E+02
1412531,2/27/23 9:50 AM,5.39E+01,-2.55E-01,1.09E+02,1.09E+02
1412532,2/27/23 9:51 AM,5.12E+01,-2.64E-01,1.07E+02,1.07E+02
1412533,2/27/23 9:52 AM,7.72E+01,-2.64E-01,1.05E+02,1.06E+02
1412534,2/27/23 9:53 AM,9.93E+01,-2.80E-01,1.03E+02,1.04E+02
1412535,2/27/23 9:54 AM,1.14E+02,1.29E+01,1.01E+02,1.02E+02
1412536,2/27/23 9:55 AM,1.93E+02,1.55E+01,9.94E+01,1.00E+02
1412537,2/27/23 9:56 AM,2.02E+02,1.64E+01,9.76E+01,9.83E+01
1412538,2/27/23 9:57 AM,2.03E+02,1.65E+01,9.59E+01,9.66E+01
1412539,2/27/23 9:58 AM,2.03E+02,1.63E+01,9.42E+01,9.49E+01
1412540,2/27/23 9:59 AM,2.02E+02,1.61E+01,1.44E+02,1.33E+02
1412541,2/27/23 10:00 AM,2.02E+02,1.61E+01,1.47E+02,1.48E+02
1412542,2/27/23 10:01 AM,2.02E+02,1.62E+01,1.48E+02,1.47E+02
1412543,2/27/23 10:02 AM,2.02E+02,1.62E+01,1.48E+02,1.50E+02
1412544,2/27/23 10:03 AM,2.02E+02,1.62E+01,1.48E+02,1.48E+02
1412545,2/27/23 10:04 AM,2.02E+02,1.61E+01,1.48E+02,1.48E+02
1412546,2/27/23 10:05 AM,2.02E+02,1.61E+01,1.48E+02,1.48E+02
1412547,2/27/23 10:06 AM,2.02E+02,1.62E+01,1.49E+02,1.49E+02
1412548,2/27/23 10:07 AM,1.84E+02,1.87E+01,1.48E+02,1.48E+02
1412549,2/27/23 10:08 AM,1.78E+02,2.46E+01,1.49E+02,1.49E+02
1412550,2/27/23 10:09 AM,1.76E+02,2.41E+01,1.48E+02,1.48E+02
1412551,2/27/23 10:10 AM,1.75E+02,2.41E+01,1.48E+02,1.48E+02
1412552,2/27/23 10:11 AM,1.74E+02,2.41E+01,1.48E+02,1.48E+02
1412553,2/27/23 10:12 AM,1.74E+02,2.43E+01,1.48E+02,1.49E+02
1412554,2/27/23 10:13 AM,1.73E+02,2.43E+01,1.48E+02,1.48E+02
1412555,2/27/23 10:14 AM,1.73E+02,2.43E+01,1.49E+02,1.48E+02
1412556,2/27/23 10:15 AM,1.72E+02,2.43E+01,1.48E+02,1.48E+02
1412557,2/27/23 10:16 AM,1.72E+02,2.43E+01,1.48E+02,1.48E+02
1412558,2/27/23 10:17 AM,1.72E+02,2.41E+01,1.48E+02,1.48E+02
1412559,2/27/23 10:18 AM,1.72E+02,2.41E+01,1.48E+02,1.48E+02
1412560,2/27/23 10:19 AM,1.72E+02,2.41E+01,1.48E+02,1.48E+02
1412561,2/27/23 10:20 AM,1.72E+02,2.41E+01,1.48E+02,1.48E+02
1412562,2/27/23 10:21 AM,1.72E+02,2.42E+01,1.48E+02,1.48E+02
1412563,2/27/23 10:22 AM,1.72E+02,2.39E+01,1.48E+02,1.48E+02
1412564,2/27/23 10:23 AM,1.72E+02,2.39E+01,1.49E+02,1.48E+02
1412565,2/27/23 10:24 AM,1.72E+02,2.41E+01,1.48E+02,1.48E+02
1412566,2/27/23 10:25 AM,1.72E+02,2.39E+01,1.48E+02,1.48E+02
1412567,2/27/23 10:26 AM,1.71E+02,2.38E+01,1.49E+02,1.48E+02
1412568,2/27/23 10:27 AM,1.71E+02,2.39E+01,1.48E+02,1.48E+02
1412569,2/27/23 10:28 AM,1.71E+02,2.38E+01,1.48E+02,1.48E+02
1412570,2/27/23 10:29 AM,1.70E+02,2.38E+01,1.48E+02,1.48E+02
1412571,2/27/23 10:30 AM,1.70E+02,2.37E+01,1.48E+02,1.48E+02
